rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
20753,经济合同,jīngjì hétong,,,,见“ 合同 ”,
20864,蕴涵,yùnhán,,,,见“ 蕴含 ” 现在一般写作“蕴含”,
21238,千伏,qiānfú,,,,见“ 伏特 ”,
21293,热带风暴,rèdài fēngbào,,,,见“ 热带气旋 ”,
21707,不防,bùfáng,,,,见“ 冷不防 ”,
22235,奴隶制,núlìzhì,,,,见“ 奴隶社会 ”,
23051,大法官,dàfǎguān,,,,见“ 法官 ”,
23135,侧身,cèshēn,,,,见“ 厕身 ” 现在一般写作“厕身”,
23546,十年动乱,shínián dòngluàn,,,,见“ 文化大革命 ”,
24345,证词,zhèngcí,,,,见“ 证言 ”,
24770,多维,duōwéi,,,,见“维1”④,
24799,发奋,fāfèn,,,,见“ 发愤 ” 现在一般写作“发愤”,
24905,无人问津,wúrén-wènjīn,,,,见“ 问津 ”,
